Year,Year Revenue,Year Performance,Total Amount
2010,-738009.5346698761,0.0,-738009.5346698761
2011,74758.1743221283,10.129703047206412,-663251.3603477478
2012,206071.24013233185,31.069855631247723,-457180.12021541595
2013,38102.589891433716,8.334262188277213,-419077.53032398224
2014,109396.05614185333,26.104013750696907,-309681.4741821289
2015,229161.70961380008,73.9991664722657,-80519.76456832883
2016,277198.666636467,344.2616457245563,196678.90206813815
2017,-365823.3974933624,-186.0003252238134,-169144.4954252243
2018,165509.79204940808,97.85112523663351,-3634.703375816229
2019,-62345.67559814453,-1715.2892313844961,-65980.37897396076
2020,292065.4065589905,442.65493939380747,226085.02758502972
2021,108445.95752334595,47.96689045786538,334530.98510837567
2022,283890.03200912476,84.86210385479087,618421.0171175004
2023,64817.8941783905,10.481192000962519,683238.9112958909
